OncoKB,FAM58A,Likely Oncogenic,NA,Likely LOF,NA,NA,NA,NA,"24218572, 18297069"
OncoKB,CBL,Inconclusive,NA,Inconclusive,NA,NA,NA,NA,"20126411, 26676746"
OncoKB,CBL,Likely Neutral,NA,COF,NA,NA,NA,NA,26676746
OncoKB,CBL,Oncogenic,NA,LOF,NA,NA,NA,NA,"25178484, 17446348, 19387008, 19734451"
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,Likely LOF,NA,NA,NA,NA,"19276253, 19901108, 22315494"
OncoKB,CBL,Likely Oncogenic,NA,Likely GOF,NA,NA,NA,NA,20126411
OncoKB,CBL,Oncogenic,NA,LOF,NA,NA,NA,NA,"23696637, 26676746"
OncoKB,CBL,Likely Neutral,NA,COF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,19387008
OncoKB,CBL,Oncogenic,NA,LOF,NA,NA,NA,NA,19620960
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,"25178484, 26676746"
OncoKB,CBL,Likely Oncogenic,NA,Likely LOF,NA,NA,NA,NA,"20508043, 20694012, 22315494"
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,19387008
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,19387008
OncoKB,CBL,Likely Neutral,NA,COF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,"25178484, 26676746"
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Inconclusive,NA,Inconclusive,NA,NA,NA,NA,"20126411, 26676746"
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,25178484
OncoKB,CBL,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,26676746
OncoKB,CBL,Oncogenic,NA,LOF,NA,NA,NA,NA,23696637
OncoKB,CBL,Oncogenic,NA,LOF,NA,NA,NA,NA,19620960
OncoKB,CBL,Likely Neutral,NA,COF,NA,NA,NA,NA,19387008
OncoKB,CBL,Likely Oncogenic,NA,Likely GOF,NA,NA,NA,NA,20126411
OncoKB,SHOC2,Likely Oncogenic,NA,LOF,NA,NA,NA,NA,25137548
